id;long_name;description;oktmo;okato;long_name_eng;type;region;latitude;longitude
153413;Ноябрьск;Ямало-Ненецкий автономный округ;71958000;71178000;the city of Noyabrsk;municipality;719;63.2018;75.45106
154768;Димитровград;Ульяновская область;73705000;73405000;Dimitrovgrad city;municipality;73;54.21679;49.62626
156595;Златоустовский городской округ;Челябинская область;75712000;75412000;Zlatoust urban district;municipality;75;55.17149;59.67255
156619;Копейский городской округ;Челябинская область;75728000;75428000;Kopeysk urban district;municipality;75;55.11666;61.61792
156643;Миасский городской округ;Челябинская область;75742000;75442000;Miass urban district;municipality;75;55.04565;60.10776
158551;Анадырь;Чукотский автономный округ;77701000;77401000;Anadyr;municipality;77;64.73139;177.5015
164837;Рыбинск;Ярославская область;78715000;78415000;Rybinsk city;municipality;78;58.04855;38.85841
175928;Дербент;Республика Дагестан;82710000;82410000;Derbent city;municipality;82;42.05897;48.29075
175934;Каспийск;Республика Дагестан;82720000;82420000;Kaspiysk city;municipality;82;42.8916;47.63671
176861;Горно-Алтайск;Республика Алтай;84701000;84401000;Gorno-Altaysk city;municipality;84;51.9581;85.96032
177383;Элиста;Республика Калмыкия;85701000;85401000;Elista city;municipality;85;;
179609;Ухта;Республика Коми;87725000;87425000;Ukhta;municipality;87;63.55655;53.70142
130660;Таганрог;Ростовская область;60737000;60437000;Taganrog;city;60;47.20949;38.9351
130663;Шахты;Ростовская область;60740000;60440000;Mines;city;60;47.70853;40.21598
184152;Черкесский;Карачаево-Черкесская Республика;91701000;91401000;Circassian;municipality;91;44.22694;42.04667
184904;Альметьевский муниципальный район;Республика Татарстан (Татарстан);92608000;92208000;Almetyevsk municipal district;municipality;92;;
60607;Тверь;Тверская область;28701000;28401000;Tver;city;28;56.87533;35.97386
186278;Елабужский муниципальный район;Республика Татарстан (Татарстан);92626000;92226000;Yelabuga municipal district;municipality;92;;
43261;Нижний Новгород;Нижегородская область;22701000;22401000;Nizhny Novgorod;city;22;56.326797;44.006516
186498;Зеленодольский муниципальный район;Республика Татарстан (Татарстан);92628000;92228000;Zelenodolsk municipal district;municipality;92;;
189668;Кызыл;Республика Тыва;93701000;93401000;Kyzyl city;municipality;93;51.7191;94.43769
192306;Сарапул;Удмуртская Республика;94740000;94440000;Sarapul city;municipality;94;56.46158;53.80377
192779;Абакан;Республика Хакасия;95701000;95401000;Abakan city;municipality;95;53.72233;91.44367
192797;Черногорск;Республика Хакасия;95715000;95415000;Chernogorsk city;municipality;95;53.82593;91.32602
196010;Новочебоксарск;Чувашская Республика - Чувашия;97710000;97410000;Novocheboksarsk city;municipality;97;56.1095;47.47911
197771;Биробиджан;Еврейская автономная область;99701000;99401000;the city of Birobidzhan;municipality;99;48.79464;132.9217
3003;Бийск;Алтайский край;1705000;1405000;Biysk;city;1;52.539387;85.213844
5580;Новороссийск;Краснодарский край;3720000;3420000;Novorossiysk;city;3;44.7235;37.76861
134346;Балаково;Саратовская область;63607000;63207501;Balakovo;city;63;;
5607;Сочи;Краснодарский край;3726000;3426000;Sochi;city;3;43.58546;39.72315
8491;Красноярск;Красноярский край;4701000;4401000;Krasnoyarsk;city;4;56.00939;92.85248
11321;Комсомольск-на-Амуре;Хабаровский край;8709000;8409000;Komsomolsk-on-Amur;city;8;50.54989;137.0079
12466;Благовещенск;Амурская область;10701000;10401000;Blagoveshchensk;city;10;50.29066;127.5272
19022;Белгород;Белгородская область;14701000;14401000;Belgorod;city;14;50.59765;36.58567
19466;Старый Оскол;Белгородская область;14740000;14440000;Stary Oskol;city;14;51.29671;37.83502
22807;Брянск;Брянская область;15701000;15401000;Bryansk;city;15;53.24195;34.36521
25640;Владимир;Владимирская область;17701000;17401000;Vladimir;city;17;56.12808;40.40844
28066;Волжский;Волгоградская область;18710000;18410000;Volzhsky;city;18;48.79782;44.74625
36547;Вологда;Вологодская область;19701000;19401000;Vologda;city;19;;
36551;Череповец;Вологодская область;19730000;19430000;Cherepovets;city;19;59.12692;37.90905
50548;Иркутск;Иркутская область;25701000;25401000;Irkutsk;city;25;52.2864;104.2807
50567;Братск;Иркутская область;25714000;25414000;Bratsk;city;25;56.15131;101.634
67391;Новокузнецк;Кемеровская область - Кузбасс;32731000;32431000;Novokuznetsk;city;32;53.79431;87.21427
67403;Прокопьевск;Кемеровская область - Кузбасс;32737000;32437000;Prokopyevsk;city;32;53.86043;86.71836
72229;Киров;Кировская область;33701000;33401000;Kirov;city;33;58.60353;49.66793
77639;Симферополь;Республика Крым;35701000;35401000;Simferopol;city;35;44.94829;34.10012
79731;Самара;Самарская область;36701000;36401000;Samara;city;36;53.19503;50.10695
79785;Тольятти;Самарская область;36740000;36440000;Tolyatti;city;36;53.52053;49.3894
81784;Курган;Курганская область;37701000;37401000;Kurgan;city;37;55.44439;65.3162
85300;Курск;Курская область;38701000;38401000;Kursk;city;38;51.73036;36.19256
91394;Балашиха;Московская область;46704000;46404000;Balashikha;city;46;55.79639;37.93828
93258;Королев;Московская область;46734000;46434000;Korolev;city;46;55.91618;37.85454
94208;Мытищи;Московская область;46746000;46446000;Mytishchi;city;46;55.91058;37.73636
94397;Люберцы;Московская область;46748000;46448000;Lyubertsy;city;46;;
95471;Подольск;Московская область;46760000;46460000;Podolsk;city;46;55.43893;37.57035
96908;Химки;Московская область;46783000;46483000;Khimki;city;46;55.88866;37.43037
101701;Великий Новгород;Новгородская область;49701000;49401000;Velikiy Novgorod;city;49;58.52138;31.27554
109190;Орск;Оренбургская область;53723000;53423000;Orsk;city;53;51.22943;58.47528
112817;Орёл;Орловская область;54701000;54401000;Orel;city;54;52.96713;36.06964
3504;Динской;Краснодарский край;3614404101;3214804000;Dinskaya (st-tsa Dinskaya);municipality;3;;
3524;Новотитаровский;Краснодарский край;3614416101;3214816000;Novotitarovskiy (st-tsa Novotitarovskaya);municipality;3;;
3542;Южно-Кубанский;Краснодарский край;3614445101;3214845000;South Kuban (p South);municipality;3;;
55386;Бурашевский;Тверская область;28620408;28220808000;Burashevsky (s Burashevo);municipality;28;56.67683;35.94233
55735;Медновский;Тверская область;28620438;28220838000;Mednovsky (s Mednoe);municipality;28;56.90409;35.46959
55960;Эммаусский (п Эммаусс);Тверская область;28620482;28220882000;Emmaussky (p Emmauss);municipality;28;56.756737;36.15131
114888;Пенза;Пензенская область;56701000;56401000;Penza;city;56;53.17533;45.03486
127421;Псков;Псковская область;58701000;58401000;Pskov;city;58;;
50551;Ангарск;Иркутская область;25703000;25203501;Angarsk;city;25;52.54488;103.8885
136522;Энгельс;Саратовская область;63650000;63250501;Engels;city;63;;
138617;Нижний Тагил;Свердловская область;65751000;65476000;Nizhny Tagil;city;65;57.91013;59.98129
144196;Смоленск;Смоленская область;66701000;66401000;Smolensk;city;66;54.78263;32.04525
147236;Томск;Томская область;69701000;69401000;Tomsk;city;69;56.48458;84.94816
153215;Нижневартовск;Ханты-Мансийский автономный округ - Югра;71875000;71135000;Nizhnevartovsk;city;718;60.93967;76.56962
156640;Магнитогорск;Челябинская область;75738000;75438000;Magnitogorsk;city;75;53.40722;58.97914
158435;Чита;Забайкальский край;76701000;76401000;Chita;city;76;52.03401;113.4994
176395;Нальчик;Кабардино-Балкарская Республика;83701000;83401000;Nalchik;city;83;43.48455;43.60713
178490;Петрозаводск;Республика Карелия;86701000;86401000;Petrozavodsk;city;86;61.78913;34.35964
179522;Сыктывкар;Республика Коми;87701000;87401000;Syktyvkar;city;87;61.66866;50.83582
181519;Йошкар-Ола;Республика Марий Эл;88701000;88401000;Yoshkar-Ola;city;88;56.63437;47.89997
183335;Саранск;Республика Мордовия;89701000;89401000;Saransk;city;89;54.18093;45.18626
183798;Владикавказ;Республика Северная Осетия-Алания;90701000;90401000;Vladikavkaz;city;90;43.02059;44.68192
187837;Нижнекамск;Республика Татарстан (Татарстан);92644000;92435000;Nizhnekamsk;city;92;;
189227;Набережные Челны;Республика Татарстан (Татарстан);92730000;92430000;Naberezhnye Chelny;city;92;55.74346;52.39592
193634;Грозный;Чеченская Республика;96701000;96401000;Grozny;city;96;43.31801;45.69829
9375;Владивосток;Приморский край;5701000;5401000;Vladivostok;city;5;43.11649;131.8824
10013;Ставрополь;Ставропольский край;7701000;7401000;Stavropol;city;7;45.04452;41.96897
11318;Хабаровск;Хабаровский край;8701000;8401000;Khabarovsk;city;8;48.46473;135.0599
16826;Архангельск;Архангельская область без АО;11701000;11401000;Arkhangelsk;city;11;64.53943;40.51696
17678;Астрахань;Астраханская область;12701000;12401000;Astrakhan;city;12;46.36557;48.05592
28063;Волгоград;Волгоградская область;18701000;18401000;Volgograd;city;18;48.707;44.51703
39234;Воронеж;Воронежская область;20701000;20401000;Voronezh;city;20;51.65933;39.19692
48082;Иваново;Ивановская область;24701000;24401000;Ivanovo;city;24;56.99938;40.97283
50823;Калининград;Калининградская область;27701000;27401000;Kaliningrad;city;27;54.70747;20.50732
65822;Калуга;Калужская область;29701000;29401000;Kaluga;city;29;54.50598;36.25162
66044;Петропавловск-Камчатский;Камчатский край;30701000;30401000;Petropavlovsk-Kamchatsky;city;30;53.03691;158.6559
67312;Кемерово;Кемеровская область - Кузбасс;32701000;32401000;Kemerovo;city;32;55.39107;86.04678
76063;Кострома;Костромская область;34701000;34401000;Kostroma;city;34;57.768;40.927
91075;Липецк;Липецкая область;42701000;42401000;Lipetsk;city;42;52.61025;39.59479
97651;Мурманск;Мурманская область;47701000;47401000;Murmansk;city;47;;
104234;Новосибирск;Новосибирская область;50701000;50401000;Novosibirsk;city;50;;
39322;Алешковский;Нижегородская область;22507000103;22207804000;Aleshkovsky (s Aleshkovo);municipality;22;;
106623;Омск;Омская область;52701000;52401000;Omsk;city;52;54.98486;73.36745
108974;Оренбург;Оренбургская область;53701000;53401000;Orenburg;city;53;51.78751;55.10188
117097;Пермь;Пермский край;57701000;57401000;Permian;city;57;58.01026;56.2342
130629;Ростов-на-Дону;Ростовская область;60701000;60401000;Rostov-on-Don;city;60;47.22246;39.7188
134034;Рязань;Рязанская область;61701000;61401000;Ryazan;city;61;54.62544;39.73586
136595;Саратов;Саратовская область;63701000;63401000;Saratov;city;63;51.53356;46.03426
136612;Южно-Сахалинск;Сахалинская область;64701000;64401000;Yuzhno-Sakhalinsk;city;64;46.95916;142.738
137188;Екатеринбург;Свердловская область;65701000;65401000;Ekaterinburg;city;65;56.83852;60.60549
146383;Тамбов;Тамбовская область;68701000;68401000;Tambov;city;68;52.72132;41.45226
150248;Тула;Тульская область;70701000;70401000;Tula;city;70;54.19206;37.61538
152690;Тюмень;Тюменская область без АО;71701000;71401000;Tyumen;city;71;57.15297;65.53441
153218;Сургут;Ханты-Мансийский автономный округ - Югра;71876000;71136000;Surgut;city;718;61.25411;73.39616
154735;Ульяновск;Ульяновская область;73701000;73401000;Ulyanovsk;city;73;54.30794;48.37485
156564;Челябинск;Челябинская область;75701000;75401000;Chelyabinsk;city;75;55.16026;61.40081
164521;Ярославль;Ярославская область;78701000;78401000;Yaroslavl;city;78;57.62155;39.89774
175898;Махачкала;Республика Дагестан;82701000;82401000;Makhachkala;city;82;42.98492;47.50472
189224;Казань;Республика Татарстан;92701000;92401000;Kazan;city;92;55.79436;49.1115
192294;Ижевск;Удмуртская Республика;94701000;94401000;Izhevsk;city;94;56.85274;53.21149
195997;Чебоксары;Чувашская Республика - Чувашия;97701000;97401000;Cheboksary;city;97;56.14383;47.24898
197574;Якутск;Республика Саха (Якутия);98701000;98401000;Yakutsk;city;98;62.02814;129.7326
91360;Егорьевский;;46612000;;;municipality;;;
55372;Калининский район;Тверская область;28620000;28220000;Kalininsky district;municipality;28;;
57071;Мокшино;Тверская область;28630414101;28230814001;Mokshino;municipality;28;56.579166;36.505
57072;Архангельское;Тверская область;28630414106;28230814010;Arkhangelskoe;municipality;28;;
57073;Безбородово;Тверская область;28630414111;28230814011;Bezborodovo;municipality;28;56.58889;36.489445
57074;Вараксино;Тверская область;28630414116;28230814012;Varaksino;municipality;28;56.588333;36.52861
57075;Высоково;Тверская область;28630414121;28230814002;Vysokovo;municipality;28;56.580276;37.136112
57076;Демидово;Тверская область;28630414126;28230814013;Demidovo;municipality;28;56.56389;36.496113
57077;Елдино;Тверская область;28630414131;28230814003;Eldino;municipality;28;56.5675;36.544167
57078;Завидово;Тверская область;28630414136;28230814009;Zavidovo;municipality;28;56.52889;36.528057
57079;Кабаново;Тверская область;28630414141;28230814014;Kabanovo;municipality;28;56.56167;36.52778
57080;Концово;Тверская область;28630414146;28230814004;Kontsovo;municipality;28;56.510834;36.556667
57081;Кочедыково;Тверская область;28630414151;28230814005;Kochedykovo;municipality;28;56.55472;36.524445
