id,oktmo,indicator,okved,scenario,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022,Y2023,Y2024,Y2025,Y2026,Y2027,Y2028,Y2029,Y2030,Y2031,Y2032,Y2033,Y2034,Y2035,Y2036,Y2037,Y2038,Y2039,Y2040,Y2041,Y2042,Y2043,Y2044,Y2045,Y2046,Y2047,Y2048,Y2049,Y2050,Y2051,Y2052,Y2053,Y2054,Y2055,Y2056,Y2057,Y2058,Y2059,Y2060,Y2061,Y2062,Y2063,Y2064,Y2065,Y2066,Y2067,Y2068,Y2069,Y2070,Y2071,Y2072,Y2073,Y2074,Y2075,Y2076,Y2077,Y2078,Y2079,Y2080,Y2081,Y2082,Y2083,Y2084,Y2085,Y2086,Y2087,Y2088,Y2089,Y2090,Y2091,Y2092,Y2093,Y2094,Y2095,Y2096,Y2097,Y2098,Y2099,Y2100,Y2101,Y2102,Y2103,Y2104,Y2105,Y2106,Y2107,Y2108,Y2109,Y2110,Y2111,Y2112,Y2113,Y2114,Y2115,Y2116,Y2117,Y2118,Y2119,Y2120,Y2121
266011,05701000,C1049,38.1,dyn_high,,,,,,,,,,,,,,,1026.0052,1199.033,1381.7521,1567.3035,1750.6431,1926.018,2089.9775,2239.1362,2398.8975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266012,05701000,C1049,38.1,dyn_low,,,,,,,,,,,,,,,768.6994,943.04626,1130.9462,1325.4684,1521.2737,1712.2898,1895.1027,2067.0085,2201.0132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266013,05701000,C1049,38.1,dyn_use,,705.2655,644.7881,590.60785,543.114,503.03052,472.737,455.92612,456.1346,476.31772,518.37366,582.35974,667.1426,770.1505,888.08203,1063.3643,1250.075,1441.3228,1631.9336,1816.0123,1990.1562,2151.3516,2297.8262,2389.3242,2560.8943,2722.8345,2874.3652,3014.7903,3144.1257,3262.5376,3370.341,3468.232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266014,05701000,C1049,38.2,dyn_high,,,,,,,,,,,,,,,0.59897715,3.478395,7.0501833,11.158623,15.652817,20.345184,92.034386,176.54373,261.81293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266015,05701000,C1049,38.2,dyn_low,,,,,,,,,,,,,,,0.44876313,2.7357774,5.7704835,9.436846,13.601984,18.087502,83.45286,162.9724,240.21603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266016,05701000,C1049,38.2,dyn_use,,0.4117307,0.37642428,0.34479412,0.3170674,0.2936669,0.27598166,0.26616755,0.26628926,0.27807206,0.30262414,0.3399789,0.38947475,0.4496103,0.5184581,3.08482,6.37832,10.261686,14.591414,19.183157,87.63864,169.62239,250.7821,260.76813,279.49307,297.16705,313.70493,329.03073,343.14627,356.0696,367.83514,378.51883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266017,05701000,C1049,38.3,dyn_high,,,,,,,,,,,,,,,2875.829,3354.2454,3813.0864,4242.9194,4637.7124,4990.401,5299.011,5561.452,5844.962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266018,05701000,C1049,38.3,dyn_low,,,,,,,,,,,,,,,2154.6167,2638.133,3120.9617,3588.2363,4030.079,4436.6216,4804.9175,5133.93,5362.813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266019,05701000,C1049,38.3,dyn_use,,1976.8154,1807.301,1655.4373,1522.3148,1409.9634,1325.0525,1277.9326,1278.5171,1335.089,1452.9692,1632.3182,1869.9594,2158.684,2489.2388,2974.7178,3449.7097,3901.8708,4323.2334,4705.371,5045.9204,5343.417,5598.6997,5821.637,6239.671,6634.2417,7003.4487,7345.597,7660.726,7949.2393,8211.904,8450.417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266020,05701000,C1049,39,dyn_high,,,,,,,,,,,,,,,825.96985,632.93085,465.27148,323.8518,207.81938,116.267,47.05908,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
